Monomer_Length_in_Main_Chain,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,PEOE_VSA10,PEOE_VSA11,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA6,EState_VSA8,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState7,FractionCSP3,NHOHCount,NumAliphaticHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_OH,fr_NH0,fr_Ndealkylation1,fr_Ndealkylation2,fr_bicyclic,fr_ether,fr_lactone,fr_piperdine,Sequence_LogP_Avg,Molecule_Shape_Circle,Sequence_TPSA_Mean,Sequence_TPSA_Median,Sequence_TPSA_Std,Sequence_TPSA_Min,Sequence_TPSA_Max,Ipc_Normalized
7,16.81647695,2.084118785,0.173505253,0.245675543,0.496768219,0.633333333,1.58e-16,-0.24928777,-2.3e-16,-2.717415601,-2.890060518,-2.11e-16,-1.135865468,3.840577906,4632.249775,47.87475911,8.47105247,0.0,80.60375859,91.72855164,85.51998806,26.22857225,41.35025811,0.0,29.46978843,13.53481214,4.736862954,65.7964107,-17.36645327,-2.965153913,-51.94390071,0.711111111,6,2,2,3,3.3816,0,1,0,0,1,1,0,0,0.771585714285714,1,29.162857142857142,29.1,4.817072953229449,20.31,38.33,4.204946996466431e-69
12,17.48399281,2.122625924,0.129441209,0.245675545,0.390716898,0.610526316,2.49e-15,-0.249287762,-1.51e-16,-2.756229902,-2.894512548,-7.74e-17,-1.134659773,2.763613904,7696.855633,66.19681715,14.11842078,0.0,121.6122489,99.86888439,132.4238376,51.84800796,76.79333648,1.431199657,23.57583074,32.96326564,5.108808191,94.80711557,-25.93885974,-6.320668194,-75.83579619,0.632352941,11,3,3,5,0.4003,1,3,1,1,1,0,0,1,0.369607692307692,0,27.781538461538464,29.1,9.51616911137108,3.24,46.17,2.780918727915194e-38
12,17.43383341,2.232756086,0.118967373,0.245419195,0.390716897,0.583333333,5.74e-16,-0.249287767,-2.76e-16,-2.757177549,-2.898608632,-2.22e-16,-1.135390385,3.407834995,7859.025629,72.21470962,14.11842078,0.0,118.8077238,118.8391981,147.9830496,37.12659694,76.79333648,1.431199657,35.36374611,26.46640595,5.108808191,97.42538211,-28.5534656,-3.318768882,-86.25477537,0.724637681,11,3,3,4,1.6184,1,3,1,1,1,0,0,1,0.46330769230769203,0,27.781538461538464,29.1,9.51616911137108,3.24,46.17,4.982332155477032e-32
12,17.21854601,2.064330868,0.129028565,0.245606955,0.390716898,0.634408602,1.02e-15,-0.249287767,-2.58e-16,-2.757287374,-2.894357769,-1.62e-16,-1.135365476,3.304410703,7505.984024,66.19681715,12.7065787,0.0,105.1039396,106.5723155,146.7343251,44.99421518,76.79333648,1.431199657,29.46978843,39.93909254,5.108808191,97.42538211,-24.24229526,-3.033321073,-78.16375785,0.712121212,10,3,3,4,0.5459,1,4,2,1,1,0,0,1,0.380807692307692,0,27.10538461538462,29.1,9.708795865593391,3.24,46.17,1.5830388692579507e-36
12,17.77156375,2.168438721,0.13386766,0.245555444,0.390716897,0.595959596,1.34e-15,-0.249287762,-1.97e-16,-2.756510014,-2.895211325,-7.77e-17,-1.135088899,2.886790184,8171.09162,66.19681715,9.882894548,0.0,121.6122489,106.2418093,168.4296624,51.84800796,76.79333648,1.431199657,23.57583074,53.89074634,5.108808191,97.38429859,-17.93193549,-6.486099595,-85.45083434,0.652777778,8,3,3,5,1.817,1,6,4,1,1,0,0,1,0.47858461538461516,0,25.753076923076925,29.1,9.946059431998789,3.24,46.17,6.183745583038869e-32
12,17.59355873,2.201274455,0.150431955,0.247773719,0.390716756,0.606060606,1.7e-15,-0.249287763,-2.29e-16,-2.756651707,-2.887396338,-1.16e-17,-1.13503864,2.903639687,8165.581845,66.19681715,8.47105247,0.0,121.6122489,99.86888439,176.7762479,51.84800796,76.79333648,1.431199657,23.57583074,60.86657324,5.108808191,100.1258157,-15.27533502,-6.588081662,-78.56406464,0.652777778,7,3,3,5,1.7691,1,7,5,1,1,0,0,1,0.4748999999999998,0,25.076923076923077,20.31,9.994210158206126,3.24,46.17,2.106007067137809e-31
11,18.00571651,2.20786046,0.203466163,0.247773877,0.390716755,0.634408602,1.79e-15,-0.249287762,-2.21e-16,-2.756486196,-2.882209963,-2.12e-18,-1.135256177,2.910150524,7620.021579,60.17892468,5.647368313,0.0,107.9084647,93.9749267,178.2690405,50.4772494,70.88615675,1.431199657,17.68187306,67.84240014,5.108808191,93.35418996,-8.200692746,-6.681706463,-78.56135067,0.647058824,5,3,3,5,1.9705,1,8,6,1,1,0,0,1,0.5072166666666665,0,24.00916666666667,20.31,10.308439469946727,3.24,46.17,6.713780918727915e-39
10,17.84293149,2.172047209,0.135443699,0.245606839,0.390716897,0.625,1.39e-15,-0.249287767,-2.53e-16,-2.757190078,-2.894021049,-1.56e-16,-1.135760377,2.887973504,7191.34965,60.17892468,9.882894548,0.0,121.6122489,99.38991717,142.1411816,41.23887261,64.97897702,1.431199657,23.57583074,33.44223285,5.108808191,80.93519592,-18.11096243,-6.530178869,-84.77034493,0.646153846,8,3,3,5,2.5117,1,4,2,1,1,0,0,1,0.5762999999999998,0,26.742727272727276,29.1,10.513997674882663,3.24,46.17,6.501766784452297e-43
10,17.80922262,2.104829864,0.152182995,0.245641474,0.390716897,0.632183908,1.29e-15,-0.249287762,-2.52e-16,-2.757591293,-2.897152721,-7.64e-17,-1.134760817,3.431134128,7055.550245,60.17892468,8.47105247,0.0,121.6122489,87.12303458,150.9667343,41.23887261,64.97897702,1.431199657,23.57583074,40.89702697,5.108808191,94.64278148,-15.01254645,-6.469356093,-65.26415857,0.640625,7,2,2,4,2.3197,1,5,4,1,0,0,0,1,0.5588454545454543,0,25.94363636363636,29.1,10.63777512002074,3.24,46.17,3.5689045936395763e-44
11,17.74731248,2.160926568,0.134931057,0.247762797,0.390716755,0.595744681,1.05e-15,-0.249287767,-2.33e-16,-2.757648598,-2.889787362,-1.02e-16,-1.135721035,2.91207923,7739.729524,66.19681715,9.882894548,0.0,121.6122489,106.2418093,157.3415598,42.60963116,70.88615675,1.431199657,23.57583074,40.41805975,5.108808191,90.57158933,-18.18451734,-6.460336829,-85.68036408,0.652173913,8,3,3,5,2.3586,1,5,3,1,1,0,0,1,0.539558333333333,0,26.206666666666667,29.1,10.222186926267566,3.24,46.17,4.098939929328622e-37
12,17.41209165,2.113499233,0.121252273,0.245428962,0.390716898,0.571428571,1.12e-15,-0.249287763,-2.4e-16,-2.75709538,-2.894158042,-1.37e-16,-1.135128822,3.400023914,8032.404261,66.19681715,12.7065787,0.0,135.3160332,99.38991717,152.2154587,51.84800796,76.79333648,1.431199657,29.46978843,40.41805975,5.108808191,100.1258157,-24.54501444,-6.361696935,-72.49929418,0.647887324,10,2,2,4,1.6246,1,4,3,1,0,0,0,1,0.46378461538461513,0,27.10538461538462,29.1,9.708795865593391,3.24,46.17,1.6890459363957598e-33
10,17.59158921,2.158295569,0.198963021,0.247548563,0.390716756,0.741176471,7.14e-16,-0.249287763,-2.83e-16,-2.758199104,-2.889240735,-1.16e-16,-1.135204823,4.215230034,6756.139424,54.16103222,5.647368313,0.0,77.69637114,96.22130176,166.7700145,57.15425123,64.97897702,1.431199657,17.68187306,67.9045257,9.845671145,98.75505715,-9.432697946,-9.756421857,-59.20227392,0.721311475,5,2,2,3,1.5519,1,7,6,1,0,1,0,1,0.48904545454545434,0,25.184545454545457,20.31,11.383625691505213,3.24,46.17,1.8975265017667844e-45
9,17.48858118,2.118078586,0.200407065,0.247548563,0.390716756,0.784810127,8.75e-16,-0.249287763,-2.45e-16,-2.758208872,-2.891374002,-9.26e-17,-1.135204821,4.169593145,6216.904262,48.14313975,5.647368313,0.0,77.69637114,89.36940964,151.5696363,55.78349268,59.07179729,1.431199657,17.68187306,60.9286988,9.845671145,91.90126436,-9.193094506,-9.624901635,-58.5998545,0.719298246,5,2,2,3,1.705,1,6,5,1,0,1,0,1,0.5244099999999998,0,25.672000000000004,20.31,11.829281296849778,3.24,46.17,2.6925795053003535e-51
